file_id,RMS_g,crest,kurt_excess,E_low,E_mid,E_hi,PCT_low,PCT_mid,PCT_hi,F1X_hz,A1X,F2X_hz,A2X,F3X_hz,A3X,R_2X_1X,R_3X_1X,SNR_1X_dB
01 - m1_half_shaft_speed_no_mechanical_load.csv,18.247090597562757,3.342248938076372,0.0,0.8331639676859253,0.1568162964929643,0.0100197358211095,83.31639676859261,15.681629649296447,1.001973582110951,0.6158115780786951,15.24777744389664,1.2316231561573903,9.834341310927792,1.8474347342360855,4.33848512359285,0.6449688387119179,0.2845322959071293,0.0
01 - m1_half_shaft_speed_no_mechanical_load.csv,26.21052399076577,3.2702363536248877,0.0,0.8239209465374829,0.1661091487315217,0.0099699047309945,82.39209465374836,16.610914873152183,0.9969904730994508,0.5043474752363657,18.28829352898353,1.0086949504727314,6.087132752871961,1.513042425709097,4.746992705314255,0.332843124112427,0.2595645513776973,0.0
01 - m1_half_shaft_speed_no_mechanical_load.csv,23.45721765911844,3.1834767158223367,0.0,0.8118402266376991,0.1773200053459106,0.0108397680163896,81.18402266376997,17.732000534591073,1.0839768016389606,0.5043474752363657,13.9172552208976,1.0086949504727314,5.587296852811622,1.513042425709097,3.974417411624998,0.4014654300814975,0.2855748025413208,0.0
01 - m1_half_shaft_speed_no_mechanical_load.csv,21.439809525738408,3.2427432893600256,0.0,0.8179653500051328,0.171208265782347,0.0108263842125193,81.79653500051337,17.120826578234716,1.082638421251931,0.706086465330912,13.459411573423816,1.412172930661824,4.40013901572265,2.118259395992736,4.196207786022262,0.3269191221116169,0.3117675511392975,0.0
01 - m1_half_shaft_speed_no_mechanical_load.csv,24.599870951847056,3.1018309200689664,0.0,0.7944071574666353,0.1942130512949893,0.0113797912383744,79.44071574666361,19.421305129498947,1.137979123837441,0.706086465330912,12.258777201685117,1.412172930661824,4.347867577900082,2.118259395992736,5.276220004711024,0.3546738395165886,0.4304034503527598,0.0
01 - m1_half_shaft_speed_no_mechanical_load.csv,29.718131600216683,3.3198698380150238,0.0,0.8537179445198859,0.1373270413840082,0.0089550140961052,85.37179445198865,13.732704138400829,0.8955014096105205,0.8069559603781852,16.37108222150766,1.6139119207563704,5.413364245894583,2.4208678811345554,3.2059353466391043,0.3306662426252265,0.1958291640871046,0.0
01 - m1_half_shaft_speed_no_mechanical_load.csv,47.1749990081336,3.4901431561947183,0.0,0.8809521224108546,0.1121548088311927,0.006893068757952,88.09521224108552,11.215480883119278,0.6893068757952004,0.5043474752363657,21.51992771321632,1.0086949504727314,13.450344891293776,1.513042425709097,4.829428007157076,0.6250181260150487,0.2244165534157959,0.0
01 - m1_half_shaft_speed_no_mechanical_load.csv,21.7332748936209,3.419403749289034,0.0,0.8619003073480531,0.1301805327533204,0.0079191598986258,86.19003073480536,13.018053275332049,0.7919159898625806,0.6052169702813269,14.40732963143432,1.2104339405626539,9.915933767285226,1.815650910843981,7.01341864327755,0.6882561877150615,0.4867951815286765,0.0
01 - m1_half_shaft_speed_no_mechanical_load.csv,46.16285855034754,3.4737248594902237,0.0,0.8622195020091697,0.1299516850968604,0.0078288128939693,86.22195020091702,12.995168509686046,0.7828812893969305,0.8069559603812678,15.410526760586595,1.6139119207625356,9.054934834484934,2.4208678811438036,4.386759718555483,0.5875811369176235,0.2846599461982637,0.0
01 - m1_half_shaft_speed_no_mechanical_load.csv,17.825629961944855,3.1234188939313885,0.0,0.814477240957229,0.1750324979339086,0.0104902611088616,81.44772409572295,17.503249793390875,1.0490261108861607,44.79060142208269,10.54217627501925,89.58120284416538,0.32588282079681996,134.37180426624806,0.8128297587341381,0.0309122910009608,0.0771026529560334,0.0
01 - m1_half_shaft_speed_no_mechanical_load.csv,12.791190526192906,3.3707162972679523,0.0,0.7378676795149053,0.247567722899625,0.0145645975854686,73.78676795149062,24.75677228996253,1.4564597585468615,44.92104605552334,10.076935820951345,89.84209211104668,0.39423835832067994,134.76313816657003,0.09023324506518238,0.039122841042711,0.0089544328423304,0.0
01 - m1_half_shaft_speed_no_mechanical_load.csv,24.279070782783048,3.357156989193155,0.0,0.7167789803051541,0.265878512549902,0.0173425071449428,71.6778980305155,26.58785125499023,1.734250714494282,44.92104605552334,9.646291595426929,89.84209211104668,0.2944945555003922,134.76313816657003,0.09741187122116247,0.0305293026431012,0.0100983751380005,0.0
01 - m1_half_shaft_speed_no_mechanical_load.csv,22.74103255482903,3.332820063589665,0.0,0.7167149060634987,0.2682367444484616,0.0150483494880384,71.67149060634998,26.823674444846194,1.504834948803842,44.92104605552334,10.394633913695705,89.84209211104668,0.2540102547504718,134.76313816657003,0.11495886158601154,0.0244366715422074,0.0110594430299796,0.0
01 - m1_half_shaft_speed_no_mechanical_load.csv,19.106003388970557,3.1673750039666557,0.0,0.7837818170789518,0.2044947947516821,0.0117233881693651,78.37818170789527,20.449479475168232,1.172338816936511,0.5949807424572628,13.439929570337249,1.1899614849145257,6.566120955546552,1.7849422273717885,5.353802494483385,0.4885532265018996,0.398350487364127,0.0
01 - m1_half_shaft_speed_no_mechanical_load.csv,21.035448183638994,3.208139687211002,0.0,0.7350592705613933,0.2506207947309836,0.014319934707622,73.5059270561394,25.062079473098382,1.4319934707622013,44.92104605552334,10.429543461427016,89.84209211104668,0.24139877842342364,134.76313816657003,0.10689312327846882,0.0231456706917442,0.0102490702180595,0.0
01 - m1_half_shaft_speed_no_mechanical_load.csv,13.680988377816316,3.2373535896172054,0.0,0.7893288124015565,0.1983404702984054,0.012330717300037,78.93288124015574,19.834047029840562,1.2330717300037013,0.7933076566096837,12.81717057184517,1.5866153132193674,6.725151164501225,2.3799229698290514,2.787937074830954,0.5246985773345347,0.2175157972037194,0.0
01 - m1_half_shaft_speed_no_mechanical_load.csv,31.21013423785088,3.283240623405998,0.0,0.7084071505706393,0.2751674516106883,0.0164253978186711,70.84071505706402,27.51674516106886,1.6425397818671121,44.92104605552334,10.45701602119578,89.84209211104668,0.37446280742798643,134.76313816657003,0.10975009662852393,0.0358097192037357,0.0104953551190958,0.0
01 - m1_half_shaft_speed_no_mechanical_load.csv,18.45948741065878,3.3464284245047966,0.0,0.7591511204210155,0.2272027534491111,0.0136461261298723,75.91511204210164,22.720275344911133,1.3646126129872316,0.5949807424572628,13.071647575644992,1.1899614849145257,6.893776804320456,1.7849422273717885,3.697370023466234,0.5273839249739946,0.2828541698412333,0.0
01 - m1_half_shaft_speed_no_mechanical_load.csv,19.19153471440453,3.364518469223607,0.0,0.6774197708986331,0.3055602781979345,0.0170199509034308,67.74197708986341,30.5560278197935,1.7019950903430827,44.92104605552334,10.45775772746733,89.84209211104668,0.32831498695209393,134.76313816657003,0.10483674549572618,0.0313943959602137,0.010024782389094,0.0
01 - m1_half_shaft_speed_no_mechanical_load.csv,24.770594334503382,3.618986734195207,0.0,0.8126067305147254,0.17647266136255,0.0109206081227238,81.2606730514726,17.647266136255013,1.092060812272381,0.5949807424572628,13.070813405998786,1.1899614849145257,6.500098911159154,1.7849422273717885,4.552074129663556,0.4972987303281344,0.3482624981529002,0.0
02 - m1_load_0.5Nm_half_speed.csv,22.371082889723425,3.561177281018934,0.0,0.7824476828550931,0.2059860749279387,0.0115662422169674,78.24476828550937,20.598607492793885,1.1566242216967408,0.8000624048684227,11.286996212667496,1.6001248097368455,4.033468261882439,2.400187214605268,2.253163871008888,0.3573553304957826,0.1996247565388692,0.0
02 - m1_load_0.5Nm_half_speed.csv,33.91406150388032,3.524834074779352,0.0,0.8704275012497268,0.1226267064780141,0.0069457922722586,87.04275012497273,12.262670647801418,0.6945792272258604,0.5000390030427642,19.825690390102032,1.0000780060855283,14.264851502500099,1.5001170091282925,6.135616288688932,0.7195134808330216,0.3094780644689244,0.0
02 - m1_load_0.5Nm_half_speed.csv,23.42431996426563,3.609488516193939,0.0,0.846382294045452,0.1453933193060518,0.0082243866484956,84.63822940454526,14.539331930605188,0.8224386648495605,0.600046803651317,18.29978435868321,1.200093607302634,5.541165932568129,1.8001404109539512,3.956514044429473,0.3027995206915571,0.2162055009436281,0.0
02 - m1_load_0.5Nm_half_speed.csv,29.654472510128176,3.5951305658452557,0.0,0.8161341993828736,0.1724310365693192,0.0114347640478065,81.61341993828741,17.243103656931932,1.1434764047806507,0.5000390030427642,18.748745545129797,1.0000780060855283,6.4499115872640305,1.5001170091282925,6.397900012225271,0.3440183009438447,0.3412441646735773,0.0
02 - m1_load_0.5Nm_half_speed.csv,43.55104844815784,3.4573137040214896,0.0,0.8304708046067052,0.1605304913185807,0.0089987040747135,83.04708046067057,16.053049131858078,0.8998704074713506,0.6985776958157837,19.98939010701735,1.3971553916315673,5.587435510751438,2.0957330874473508,3.9957798869087484,0.2795200594334265,0.1998950375932688,0.0
02 - m1_load_0.5Nm_half_speed.csv,48.42142822967012,3.7782139009029687,0.0,0.8041058543448533,0.1857182858339826,0.0101758598211634,80.41058543448538,18.57182858339827,1.0175859821163407,0.7983745095037528,13.79177544243272,1.5967490190075055,5.722361173930467,2.395123528511258,2.3688900008115676,0.4149111329296052,0.1717610622866784,0.0
02 - m1_load_0.5Nm_half_speed.csv,51.65566207136161,3.3900828727581374,0.0,0.8031889225128622,0.1856236381726811,0.011187439314456,80.31889225128629,18.56236381726812,1.1187439314456007,0.7983745095037528,11.91194766173234,1.5967490190075055,7.3170815199597135,2.395123528511258,6.196145659993444,0.6142640756780826,0.5201622636320706,0.0
02 - m1_load_0.5Nm_half_speed.csv,25.428780420243577,3.5331181094600073,0.0,0.852533435530296,0.1385101001855168,0.0089564642841866,85.25334355302965,13.851010018551687,0.8956464284186605,1.1000858066940813,13.696640419706906,2.2001716133881626,9.81949492863473,3.300257420082244,3.245664390892565,0.7169272630174559,0.2369679199742048,0.0
02 - m1_load_0.5Nm_half_speed.csv,37.20829054533138,3.777655547939599,0.0,0.8959300432911913,0.0983404248426157,0.0057295318661924,89.59300432911917,9.834042484261575,0.5729531866192403,0.5000390030427642,24.456723767355736,1.0000780060855283,9.667660578484789,1.5001170091282925,9.704224437324301,0.3952966337784359,0.3967916769897558,0.0
02 - m1_load_0.5Nm_half_speed.csv,21.11624649401208,3.285817633738549,0.0,0.8077766613875561,0.1799444598427648,0.0122788787696784,80.77766613875566,17.994445984276492,1.2278878769678407,0.600046803651317,14.33609993998805,1.200093607302634,6.171087818791401,1.8001404109539512,4.718295190898699,0.4304579240256429,0.3291198590027848,0.0
